index;movie_title;actors;not_white
1;The Little Mermaid (2023 film);Halle Bailey;1
1;The Little Mermaid (2023 film);Jonah Hauer-King;0
1;The Little Mermaid (2023 film);Daveed Diggs;1
1;The Little Mermaid (2023 film);Jacob Tremblay;0
1;The Little Mermaid (2023 film);Awkwafina;1
1;The Little Mermaid (2023 film);Art Malik;1
1;The Little Mermaid (2023 film);Noma Dumezweni;1
1;The Little Mermaid (2023 film);Javier Bardem;0
1;The Little Mermaid (2023 film);Melissa McCarthy;0
2;Ghost in the Shell (2017 film);Scarlett Johansson;0
2;Ghost in the Shell (2017 film);Takeshi Kitano;1
2;Ghost in the Shell (2017 film);Michael Pitt;0
2;Ghost in the Shell (2017 film);Pilou AsbÃ¦k;0
2;Ghost in the Shell (2017 film);Chin Han (actor, born 1969);0
2;Ghost in the Shell (2017 film);Juliette Binoche;0
3;The Witcher (TV series);Henry Cavill;0
3;The Witcher (TV series);Freya Allan;0
3;The Witcher (TV series);Eamon Farren;0
3;The Witcher (TV series);Anya Chalotra;1
3;The Witcher (TV series);Joey Batey;0
3;The Witcher (TV series);MyAnna Buring;0
3;The Witcher (TV series);Royce Pierreson;1
3;The Witcher (TV series);Mimi Ndiweni;1
3;The Witcher (TV series);Wilson Mbomio;0
3;The Witcher (TV series);Anna Shaffer;1
3;The Witcher (TV series);Mahesh Jadu;0
3;The Witcher (TV series);Tom Canton;0
3;The Witcher (TV series);Mecia Simson;0
3;The Witcher (TV series);Kim Bodnia;0
4;Bridgerton;Adjoa Andoh;1
4;Bridgerton;Lorraine Ashbourne;0
4;Bridgerton;Jonathan Bailey;0
4;Bridgerton;Ruby Barker;1
4;Bridgerton;Sabrina Bartlett;0
4;Bridgerton;Harriet Cains;0
4;Bridgerton;Bessie Carter;0
4;Bridgerton;Nicola Coughlan;0
4;Bridgerton;Phoebe Dynevor;0
4;Bridgerton;Ruth Gemmell;0
4;Bridgerton;Florence Hunt;0
4;Bridgerton;Claudia Jessie;0
4;Bridgerton;Ben Miller;0
4;Bridgerton;Luke Newton;0
4;Bridgerton;RegÃ©-Jean Page;0
4;Bridgerton;Golda Rosheuvel;0
4;Bridgerton;Ruby Stokes;0
4;Bridgerton;Luke Thompson (actor);0
4;Bridgerton;Will Tilston;0
4;Bridgerton;Polly Walker;0
4;Bridgerton;Julie Andrews;0
4;Bridgerton;Simone Ashley;1
4;Bridgerton;Charithra Chandran;1
4;Bridgerton;Shelley Conn;1
4;Bridgerton;Martins Imhangbe;1
4;Bridgerton;Calam Lynch;0
4;Bridgerton;Rupert Young;0
5;Inception;Leonardo DiCaprio;0
5;Inception;Ken Watanabe;1
5;Inception;Joseph Gordon-Levitt;0
5;Inception;Marion Cotillard;0
5;Inception;Elliot Page;0
5;Inception;Tom Hardy;0
5;Inception;Cillian Murphy;0
5;Inception;Tom Berenger;0
5;Inception;Michael Caine;0
6;The Wolf of Wall Street (2013 film);Leonardo DiCaprio;0
6;The Wolf of Wall Street (2013 film);Jonah Hill;0
6;The Wolf of Wall Street (2013 film);Margot Robbie;0
6;The Wolf of Wall Street (2013 film);Matthew McConaughey;0
6;The Wolf of Wall Street (2013 film);Kyle Chandler;0
6;The Wolf of Wall Street (2013 film);Rob Reiner;0
6;The Wolf of Wall Street (2013 film);Jon Favreau;0
6;The Wolf of Wall Street (2013 film);Jean Dujardin;0
6;The Wolf of Wall Street (2013 film);Aya Cash;0
7;Mad Max: Fury Road;Tom Hardy;0
7;Mad Max: Fury Road;Charlize Theron;0
7;Mad Max: Fury Road;Nicholas Hoult;0
7;Mad Max: Fury Road;Hugh Keays-Byrne;0
7;Mad Max: Fury Road;Rosie Huntington-Whiteley;0
7;Mad Max: Fury Road;Riley Keough;0
7;Mad Max: Fury Road;ZoÃ« Kravitz;0
7;Mad Max: Fury Road;Abbey Lee;0
7;Mad Max: Fury Road;Courtney Eaton;0
